"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","MPN","Manufacturer"
"C1","1","100uF","","","","Capacitor_SMD:CP_Elec_6.3x5.4","","UWT1E101MCL1GS","Nichicon"
"C2,C4","2","100nF","","","","Capacitor_SMD:C_0603_1608Metric","","GRM188R71H104KA93D","Murata"
"C3","1","220uF","","","","Capacitor_SMD:CP_Elec_8x6.5","","UWT1A221MCL1GS","Nichicon"
"D1","1","D_Schottky","","","","Diode_SMD:D_SMA","","SS34-E3/61T","Vishay"
"D2","1","15V","","","","Package_TO_SOT_SMD:SOT-23","","BZX84C15LT1G","Onsemi"
"J1,J2","2","Screw_Terminal_01x02","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal","","1935776","Phoenix Contact"
"L1","1","100uH","","","","Inductor_SMD:L_Bourns_SRF1260","","MSS1260T-104MLB","Coilcraft"
"Q1","1","PMOS","","","","Package_TO_SOT_SMD:SOT-23","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs","DMP3098L-7","Diodes Incorporated"
"R1","1","10k","","","","Resistor_SMD:R_0402_1005Metric","","RC0402FR-0710KL","Yageo"
"U1","1","LM2576S-3.3","","","","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2576.pdf","LM2576S-3.3/NOPB","Texas Instruments"
